Time,Extension,Current,pulseCount
0.029,0.075,309,8
0.052,0.15,377,16
0.303,0.225,446,24
0.349,0.3,490,32
0.379,0.375,549,40
0.622,0.45,598,48
0.668,0.525,676,56
0.729,0.6,700,64
0.949,0.675,796,72
0.981,0.75,790,80
1.015,0.825,804,88
1.236,0.9,781,96
1.272,0.975,798,104
1.305,1.05,814,112
1.52,1.125,755,120
1.562,1.2,792,128
1.592,1.275,793,136
1.706,1.35,808,144
1.804,1.425,802,152
1.842,1.5,800,160
1.873,1.575,751,168
2.054,1.65,793,176
2.092,1.725,812,184
2.111,1.8,806,192
2.135,1.875,795,200
2.165,1.95,776,208
2.2,2.025,773,216
2.427,2.1,785,224
2.47,2.175,751,232
2.502,2.25,795,240
2.789,2.325,805,248
2.841,2.4,753,256
2.881,2.475,746,264
3.214,2.55,808,272
3.263,2.625,752,280
3.31,2.7,806,288
3.712,2.775,780,296
3.76,2.85,807,304
4.086,2.925,764,312
4.139,3,771,320
4.179,3.075,805,328
4.483,3.15,765,336
4.528,3.225,809,344
4.568,3.3,799,352
4.573,3.375,767,360
4.849,3.45,789,368
4.892,3.525,791,376
4.937,3.6,773,384
5.178,3.675,765,392
5.224,3.75,800,400
5.262,3.825,808,408
5.361,3.9,791,416
5.535,3.975,809,424
5.582,4.05,755,432
5.616,4.125,815,440
5.887,4.2,767,448
5.94,4.275,785,456
5.984,4.35,761,464
6.405,4.425,770,472
6.469,4.5,754,480
6.534,4.575,763,488
6.536,4.65,759,496
6.873,4.725,790,504
6.95,4.8,749,512
7.024,4.875,764,520
7.027,4.95,778,528
8.187,5.025,804,536
8.249,5.1,802,544
8.301,5.175,795,552
9.327,5.25,755,560
9.402,5.325,751,568
9.471,5.4,780,576
10.3,5.475,799,584
10.325,5.55,760,592
10.435,5.625,782,600
10.966,5.7,803,608
11.02,5.775,762,616
11.071,5.85,778,624
11.433,5.925,748,632
11.485,6,782,640
11.531,6.075,783,648
12.001,6.15,758,656
12.06,6.225,755,664
12.111,6.3,798,672
12.615,6.375,786,680
12.676,6.45,778,688
12.721,6.525,809,696
13.124,6.6,803,704
13.188,6.675,821,712
13.415,6.75,770,720
13.452,6.825,770,728
13.488,6.9,753,736
13.736,6.975,754,744
13.806,7.05,819,752
13.808,7.125,759,760
14.075,7.2,801,768
14.153,7.275,789,776
14.406,7.35,807,784
14.444,7.425,784,792
14.481,7.5,757,800
14.715,7.575,798,808
14.78,7.65,800,816
15.011,7.725,790,824
15.056,7.8,292,832
15.096,7.875,294,840
